学科门类代码,学科门类,专业类代码,专业类,专业代码,专业名称,是否特设专业,是否国家控制布点专业,特殊标识,学位授予说明,专业介绍
2,经济学,201,经济学类,20107,劳动经济学,T,,T,,"培养目标：培养具备扎实的劳动经济学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握劳动经济学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解劳动经济学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、劳动经济学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,201,经济学类,20108,经济工程,T,,T,,"培养目标：培养具备扎实的经济工程理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握经济工程的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解经济工程的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、经济工程专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,201,经济学类,20109,数字经济,T,,T,,"培养目标：培养具备扎实的数字经济理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握数字经济的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解数字经济的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、数字经济专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,202,财政学类,20201,财政学,,K,K,,"培养目标：培养具备扎实的财政学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握财政学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解财政学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、财政学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,202,财政学类,20202,税收学,,,,,"培养目标：培养具备扎实的税收学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握税收学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解税收学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、税收学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,202,财政学类,20203,国际税收,T,K,TK,,"培养目标：培养具备扎实的国际税收理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握国际税收的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解国际税收的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、国际税收专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20301,金融学,,K,K,,"培养目标：培养系统掌握金融学基本理论、基本知识和基本技能，具备较强的金融实务操作能力，能在银行、证券、投资、保险及其他经济管理部门和企业从事相关工作的应用型高级专门人才。

培养要求：掌握金融学科的基本理论、基本知识；具有处理银行、证券、投资与保险等方面业务的基本能力；熟悉国家有关金融的方针、政策和法规；了解本学科的理论前沿和发展动态。

核心课程：政治经济学、西方经济学、财政学、国际经济学、货币银行学、国际金融管理、证券投资学、保险学、商业银行业务管理、中央银行业务、投资银行理论与实务等。

就业方向：商业银行、投资银行、证券公司、基金管理公司、保险公司、信托投资公司、金融租赁公司、金融资产管理公司、上市公司证券部、财务部等。"
2,经济学,203,金融学类,20302,金融工程,,,,,"培养目标：培养具备扎实的金融工程理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握金融工程的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解金融工程的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、金融工程专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20303,保险学,,,,,"培养目标：培养具备扎实的保险学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握保险学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解保险学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、保险学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20304,投资学,,,,,"培养目标：培养具备扎实的投资学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握投资学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解投资学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、投资学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20305,金融数学,T,,T,,"培养目标：培养具备扎实的金融数学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握金融数学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解金融数学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、金融数学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20306,信用管理,T,,T,,"培养目标：培养具备扎实的信用管理理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握信用管理的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解信用管理的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、信用管理专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20307,经济与金融,T,,T,,"培养目标：培养具备扎实的经济与金融理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握经济与金融的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解经济与金融的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、经济与金融专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20308,精算学,T,,T,,"培养目标：培养具备扎实的精算学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握精算学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解精算学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、精算学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20309,互联网金融,T,,T,,"培养目标：培养具备扎实的互联网金融理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握互联网金融的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解互联网金融的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、互联网金融专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20310,金融科技,T,,T,,"培养目标：培养具备扎实的金融科技理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握金融科技的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解金融科技的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、金融科技专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,203,金融学类,20311,金融审计,T,K,TK,,"培养目标：培养具备扎实的金融审计理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握金融审计的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解金融审计的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、金融审计专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,204,经济与贸易类,20401,国际经济与贸易,,,,,"培养目标：培养具备扎实的国际经济与贸易理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握国际经济与贸易的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解国际经济与贸易的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、国际经济与贸易专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,204,经济与贸易类,20402,贸易经济,,,,,"培养目标：培养具备扎实的贸易经济理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握贸易经济的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解贸易经济的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、贸易经济专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,204,经济与贸易类,20403,国际经济发展合作,T,,T,,"培养目标：培养具备扎实的国际经济发展合作理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握国际经济发展合作的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解国际经济发展合作的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、国际经济发展合作专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
3,法学,301,法学类,30101,法学,,K,K,,"培养目标：培养系统掌握法学知识，熟悉我国法律和党的相关政策，能在国家机关、企事业单位和社会团体，特别是能在立法机关、行政机关、检察机关、审判机关、仲裁机构和法律服务机构从事法律工作的高级专门人才。

培养要求：掌握法学各学科的基本理论与基本知识；掌握法学的基本分析方法和技术；了解法学的理论前沿和法制建设的趋势；熟悉我国法律法规以及党的相关政策；具有运用法学知识去认识问题和处理问题的能力。

核心课程：法理学、中国法制史、宪法、行政法与行政诉讼法、民法、商法、知识产权法、经济法、刑法、民事诉讼法、刑事诉讼法、国际法、国际私法、国际经济法等。

就业方向：立法机关、行政机关、检察机关、审判机关、仲裁机构、法律服务机构、企事业单位法务部门、律师事务所、公证处等。"
3,法学,301,法学类,30102,知识产权,T,,T,,"培养目标：培养系统掌握知识产权知识，熟悉我国相关法律法规和政策，能在相关部门从事知识产权工作的高级专门人才。

培养要求：掌握知识产权的基本理论与基本知识；掌握知识产权的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用知识产权知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、知识产权专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30103,监狱学,T,,T,,"培养目标：培养系统掌握监狱学知识，熟悉我国相关法律法规和政策，能在相关部门从事监狱学工作的高级专门人才。

培养要求：掌握监狱学的基本理论与基本知识；掌握监狱学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用监狱学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、监狱学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30104,信用风险管理与法律防控,T,,T,,"培养目标：培养系统掌握信用风险管理与法律防控知识，熟悉我国相关法律法规和政策，能在相关部门从事信用风险管理与法律防控工作的高级专门人才。

培养要求：掌握信用风险管理与法律防控的基本理论与基本知识；掌握信用风险管理与法律防控的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用信用风险管理与法律防控知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、信用风险管理与法律防控专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30105,国际经贸规则,T,,T,,"培养目标：培养系统掌握国际经贸规则知识，熟悉我国相关法律法规和政策，能在相关部门从事国际经贸规则工作的高级专门人才。

培养要求：掌握国际经贸规则的基本理论与基本知识；掌握国际经贸规则的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用国际经贸规则知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、国际经贸规则专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30106,司法警察学,T,K,TK,,"培养目标：培养系统掌握司法警察学知识，熟悉我国相关法律法规和政策，能在相关部门从事司法警察学工作的高级专门人才。

培养要求：掌握司法警察学的基本理论与基本知识；掌握司法警察学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用司法警察学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、司法警察学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30107,社区矫正,T,K,TK,,"培养目标：培养系统掌握社区矫正知识，熟悉我国相关法律法规和政策，能在相关部门从事社区矫正工作的高级专门人才。

培养要求：掌握社区矫正的基本理论与基本知识；掌握社区矫正的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用社区矫正知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、社区矫正专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30108,纪检监察,T,K,TK,,"培养目标：培养系统掌握纪检监察知识，熟悉我国相关法律法规和政策，能在相关部门从事纪检监察工作的高级专门人才。

培养要求：掌握纪检监察的基本理论与基本知识；掌握纪检监察的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用纪检监察知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、纪检监察专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30109,国际法,T,K,TK,,"培养目标：培养系统掌握国际法知识，熟悉我国相关法律法规和政策，能在相关部门从事国际法工作的高级专门人才。

培养要求：掌握国际法的基本理论与基本知识；掌握国际法的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用国际法知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、国际法专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30110,司法鉴定学,T,K,TK,,"培养目标：培养系统掌握司法鉴定学知识，熟悉我国相关法律法规和政策，能在相关部门从事司法鉴定学工作的高级专门人才。

培养要求：掌握司法鉴定学的基本理论与基本知识；掌握司法鉴定学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用司法鉴定学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、司法鉴定学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30111,国家安全学,T,K,TK,,"培养目标：培养系统掌握国家安全学知识，熟悉我国相关法律法规和政策，能在相关部门从事国家安全学工作的高级专门人才。

培养要求：掌握国家安全学的基本理论与基本知识；掌握国家安全学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用国家安全学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、国家安全学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,301,法学类,30112,海外利益安全,T,K,TK,,"培养目标：培养系统掌握海外利益安全知识，熟悉我国相关法律法规和政策，能在相关部门从事海外利益安全工作的高级专门人才。

培养要求：掌握海外利益安全的基本理论与基本知识；掌握海外利益安全的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用海外利益安全知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、海外利益安全专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,302,政治学类,30201,政治学与行政学,,,,,"培养目标：培养系统掌握政治学与行政学知识，熟悉我国相关法律法规和政策，能在相关部门从事政治学与行政学工作的高级专门人才。

培养要求：掌握政治学与行政学的基本理论与基本知识；掌握政治学与行政学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用政治学与行政学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、政治学与行政学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,302,政治学类,30202,国际政治,,,,,"培养目标：培养系统掌握国际政治知识，熟悉我国相关法律法规和政策，能在相关部门从事国际政治工作的高级专门人才。

培养要求：掌握国际政治的基本理论与基本知识；掌握国际政治的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用国际政治知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、国际政治专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,302,政治学类,30203,外交学,,,,,"培养目标：培养系统掌握外交学知识，熟悉我国相关法律法规和政策，能在相关部门从事外交学工作的高级专门人才。

培养要求：掌握外交学的基本理论与基本知识；掌握外交学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用外交学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、外交学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,302,政治学类,30204,国际事务与国际关系,T,,T,,"培养目标：培养系统掌握国际事务与国际关系知识，熟悉我国相关法律法规和政策，能在相关部门从事国际事务与国际关系工作的高级专门人才。

培养要求：掌握国际事务与国际关系的基本理论与基本知识；掌握国际事务与国际关系的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用国际事务与国际关系知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、国际事务与国际关系专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,302,政治学类,30205,政治学、经济学与哲学,T,,T,,"培养目标：培养系统掌握政治学、经济学与哲学知识，熟悉我国相关法律法规和政策，能在相关部门从事政治学、经济学与哲学工作的高级专门人才。

培养要求：掌握政治学、经济学与哲学的基本理论与基本知识；掌握政治学、经济学与哲学的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用政治学、经济学与哲学知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、政治学、经济学与哲学专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
3,法学,302,政治学类,30206,国际组织与全球治理,T,K,TK,,"培养目标：培养系统掌握国际组织与全球治理知识，熟悉我国相关法律法规和政策，能在相关部门从事国际组织与全球治理工作的高级专门人才。

培养要求：掌握国际组织与全球治理的基本理论与基本知识；掌握国际组织与全球治理的基本分析方法和技术；熟悉我国相关法律法规和政策；具有运用国际组织与全球治理知识认识和处理问题的能力。

核心课程：法理学、宪法、民法、刑法、国际组织与全球治理专业核心课程、法律实务、案例分析等。

就业方向：司法机关、行政机关、法律服务机构、企事业单位法务部门、律师事务所等相关机构。"
