学科门类代码,学科门类,专业类代码,专业类,专业代码,专业名称,是否特设专业,是否国家控制布点专业,特殊标识,学位授予说明,专业介绍,标准专业介绍
5,文学,502,外国语言文学类,50262,商务英语,,,,,"培养目标：培养具有扎实的商务英语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握商务英语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握商务英语的研究方法；了解商务英语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、商务英语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握商务英语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备商务英语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习商务英语的基本理论和基本知识，接受商务英语方面的基本训练，具有从事商务英语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握商务英语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
商务英语概论、语言学概论、文学概论、商务英语史、商务英语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50263,阿姆哈拉语,T,,T,,"培养目标：培养具有扎实的阿姆哈拉语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握阿姆哈拉语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握阿姆哈拉语的研究方法；了解阿姆哈拉语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、阿姆哈拉语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握阿姆哈拉语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备阿姆哈拉语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习阿姆哈拉语的基本理论和基本知识，接受阿姆哈拉语方面的基本训练，具有从事阿姆哈拉语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握阿姆哈拉语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
阿姆哈拉语概论、语言学概论、文学概论、阿姆哈拉语史、阿姆哈拉语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50264,吉尔吉斯语,T,,T,,"培养目标：培养具有扎实的吉尔吉斯语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握吉尔吉斯语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握吉尔吉斯语的研究方法；了解吉尔吉斯语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、吉尔吉斯语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握吉尔吉斯语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备吉尔吉斯语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习吉尔吉斯语的基本理论和基本知识，接受吉尔吉斯语方面的基本训练，具有从事吉尔吉斯语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握吉尔吉斯语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
吉尔吉斯语概论、语言学概论、文学概论、吉尔吉斯语史、吉尔吉斯语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50265,索马里语,T,,T,,"培养目标：培养具有扎实的索马里语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握索马里语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握索马里语的研究方法；了解索马里语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、索马里语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握索马里语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备索马里语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习索马里语的基本理论和基本知识，接受索马里语方面的基本训练，具有从事索马里语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握索马里语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
索马里语概论、语言学概论、文学概论、索马里语史、索马里语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50266,土库曼语,T,,T,,"培养目标：培养具有扎实的土库曼语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握土库曼语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握土库曼语的研究方法；了解土库曼语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、土库曼语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握土库曼语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备土库曼语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习土库曼语的基本理论和基本知识，接受土库曼语方面的基本训练，具有从事土库曼语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握土库曼语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
土库曼语概论、语言学概论、文学概论、土库曼语史、土库曼语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50267,加泰罗尼亚语,T,,T,,"培养目标：培养具有扎实的加泰罗尼亚语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握加泰罗尼亚语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握加泰罗尼亚语的研究方法；了解加泰罗尼亚语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、加泰罗尼亚语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握加泰罗尼亚语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备加泰罗尼亚语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习加泰罗尼亚语的基本理论和基本知识，接受加泰罗尼亚语方面的基本训练，具有从事加泰罗尼亚语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握加泰罗尼亚语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
加泰罗尼亚语概论、语言学概论、文学概论、加泰罗尼亚语史、加泰罗尼亚语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50268,约鲁巴语,T,,T,,"培养目标：培养具有扎实的约鲁巴语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握约鲁巴语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握约鲁巴语的研究方法；了解约鲁巴语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、约鲁巴语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握约鲁巴语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备约鲁巴语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习约鲁巴语的基本理论和基本知识，接受约鲁巴语方面的基本训练，具有从事约鲁巴语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握约鲁巴语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
约鲁巴语概论、语言学概论、文学概论、约鲁巴语史、约鲁巴语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50269,亚美尼亚语,T,,T,,"培养目标：培养具有扎实的亚美尼亚语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握亚美尼亚语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握亚美尼亚语的研究方法；了解亚美尼亚语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、亚美尼亚语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握亚美尼亚语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备亚美尼亚语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习亚美尼亚语的基本理论和基本知识，接受亚美尼亚语方面的基本训练，具有从事亚美尼亚语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握亚美尼亚语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
亚美尼亚语概论、语言学概论、文学概论、亚美尼亚语史、亚美尼亚语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50270,马达加斯加语,T,,T,,"培养目标：培养具有扎实的马达加斯加语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握马达加斯加语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握马达加斯加语的研究方法；了解马达加斯加语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、马达加斯加语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握马达加斯加语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备马达加斯加语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习马达加斯加语的基本理论和基本知识，接受马达加斯加语方面的基本训练，具有从事马达加斯加语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握马达加斯加语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
马达加斯加语概论、语言学概论、文学概论、马达加斯加语史、马达加斯加语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50271,格鲁吉亚语,T,,T,,"培养目标：培养具有扎实的格鲁吉亚语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握格鲁吉亚语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握格鲁吉亚语的研究方法；了解格鲁吉亚语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、格鲁吉亚语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握格鲁吉亚语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备格鲁吉亚语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习格鲁吉亚语的基本理论和基本知识，接受格鲁吉亚语方面的基本训练，具有从事格鲁吉亚语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握格鲁吉亚语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
格鲁吉亚语概论、语言学概论、文学概论、格鲁吉亚语史、格鲁吉亚语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50272,阿塞拜疆语,T,,T,,"培养目标：培养具有扎实的阿塞拜疆语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握阿塞拜疆语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握阿塞拜疆语的研究方法；了解阿塞拜疆语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、阿塞拜疆语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握阿塞拜疆语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备阿塞拜疆语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习阿塞拜疆语的基本理论和基本知识，接受阿塞拜疆语方面的基本训练，具有从事阿塞拜疆语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握阿塞拜疆语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
阿塞拜疆语概论、语言学概论、文学概论、阿塞拜疆语史、阿塞拜疆语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50273,阿非利卡语,T,,T,,"培养目标：培养具有扎实的阿非利卡语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握阿非利卡语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握阿非利卡语的研究方法；了解阿非利卡语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、阿非利卡语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握阿非利卡语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备阿非利卡语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习阿非利卡语的基本理论和基本知识，接受阿非利卡语方面的基本训练，具有从事阿非利卡语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握阿非利卡语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
阿非利卡语概论、语言学概论、文学概论、阿非利卡语史、阿非利卡语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50274,马其顿语,T,,T,,"培养目标：培养具有扎实的马其顿语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握马其顿语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握马其顿语的研究方法；了解马其顿语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、马其顿语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握马其顿语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备马其顿语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习马其顿语的基本理论和基本知识，接受马其顿语方面的基本训练，具有从事马其顿语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握马其顿语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
马其顿语概论、语言学概论、文学概论、马其顿语史、马其顿语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50275,塔吉克语,T,,T,,"培养目标：培养具有扎实的塔吉克语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握塔吉克语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握塔吉克语的研究方法；了解塔吉克语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、塔吉克语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握塔吉克语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备塔吉克语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习塔吉克语的基本理论和基本知识，接受塔吉克语方面的基本训练，具有从事塔吉克语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握塔吉克语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
塔吉克语概论、语言学概论、文学概论、塔吉克语史、塔吉克语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50276,茨瓦纳语,T,,T,,"培养目标：培养具有扎实的茨瓦纳语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握茨瓦纳语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握茨瓦纳语的研究方法；了解茨瓦纳语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、茨瓦纳语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握茨瓦纳语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备茨瓦纳语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习茨瓦纳语的基本理论和基本知识，接受茨瓦纳语方面的基本训练，具有从事茨瓦纳语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握茨瓦纳语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
茨瓦纳语概论、语言学概论、文学概论、茨瓦纳语史、茨瓦纳语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
5,文学,502,外国语言文学类,50277,恩德贝莱语,T,,T,,"培养目标：培养具有扎实的恩德贝莱语理论基础和良好的文学素养，具备较强的文字表达和文学创作能力的高素质人才。

培养要求：掌握恩德贝莱语的基本理论和基本知识；具备较强的文学鉴赏能力和文字表达能力；掌握恩德贝莱语的研究方法；了解恩德贝莱语的发展历史和现状。

核心课程：文学概论、中国文学史、外国文学史、恩德贝莱语专业核心课程、写作理论与实践、文学批评等。

就业方向：新闻出版、文化传媒、教育机构、政府机关、企事业单位从事编辑、记者、教学、文秘、文化宣传等工作。","一、培养目标
本专业旨在培养系统掌握恩德贝莱语基本理论和基本知识，具有扎实的语言文字功底和较强的文学素养，具备恩德贝莱语专业技能和跨文化交流能力，能够在相关领域从事教学、研究、翻译、文化传播等工作的高素质人才。

二、培养要求
学生主要学习恩德贝莱语的基本理论和基本知识，接受恩德贝莱语方面的基本训练，具有从事恩德贝莱语实际工作的基本能力。

毕业生应获得以下几方面的知识和能力：
1. 系统掌握恩德贝莱语的基本理论、基本知识和基本技能；
2. 具有扎实的语言文字功底和较强的表达能力；
3. 具备跨文化交流能力和国际视野；
4. 了解相关文化背景和文学传统；
5. 具备文献检索和学术研究的基本能力；
6. 具有创新精神和实践能力；

三、主干学科
外国语言文学类

四、核心课程
恩德贝莱语概论、语言学概论、文学概论、恩德贝莱语史、恩德贝莱语作品选读、翻译理论与实践、跨文化交际等。

五、主要实践性教学环节
根据专业特点安排课程实习、专业实习、毕业论文（设计）等实践性教学环节。

六、修业年限
四年

七、授予学位
根据专业特点授予相应学位。

八、就业面向
教育机构、文化传媒机构、出版社、翻译公司、外事部门、企事业单位等，从事教学、研究、翻译、编辑、文化交流等工作。"
